,positions,locations,company_names,posted_dates,descriptions
9,Data Scientist,Remote,SmartIT Frame,Posted 60+ days ago,"Skills Required: Must have 8+ yrs of experience. Strong experience with SQL, Python. Should have good experience on AWS/Azure. Thanks & Regards, Garvit Singh Smart IT Frame - An Everify Employer 220 Davidson Avenue Suite #313 Somerset NJ 08873 Phone: Email:"
10,Data Scientist with Machine Learning & Python,"Greenville, SC, USA","Datasoft Technologies, Inc.",Posted 60+ days ago,"Data ScientistHybrid About the Job: Duration: Long-term renewable contract Location: Greenville, SC Pay rate: Hourly, depending on experience Job ID: 4317 Must be able to work on W2 with DataSoft. No C2C. Overview: DataSoft Technologies is seeking a Data Scientist for our client in Greenville, SC. Responsibilities: Analyzes business critical data and recommends improvements. Works with large data sets consisting of predominantly images and conducts advanced analytics tasks. Assess the effecti"
11,Lead Data Scientist / 100% REMOTE,"Port Chicago, CA, USA",Motion Recruitment,Posted 60+ days ago,Want an opportunity to challenge your leadership skills? Look no further! This consumer lending company provides financial solutions to customer regardless of credit score or lack of credit history at all. They are hiring a Lead Data Scientist to join their team. Depending on performance this role would turn into a manager role within 6 months where you will get to manager 3 other junior scientist. This is a great opportunity for someone looking to take a step into management! Required Skills 5
12,Data Scientist - Health Economics (Hybrid),"Baltimore, MD, USA",CareFirst,Posted 60+ days ago,"Resp & Qualifications PURPOSE: This position exists within the Health Economics team under the Health Services division. It provides data, reports, and analyses in support of initiatives to improve health equity, population health outcomes, access to care, and affordability of care, with a focus in the areas of management of health cost and position exists within the Health Economics team under the Health Services division. It provides data, reports, and analyses in support of initiatives to i"
13,Data Scientist - Florida,"Boca Raton, FL, USA",Access Technical Staffing,Posted 60+ days ago,"Access Technical Staffing is conducting a search for a Data Scientist This is a direct hire/full time/hybrid (three days onsite/two remote) position located in Boca Raton, Florida with a one of our best clients, a well-established, stable, multi-billion-dollar firm ($25 billion in assets) offering outstanding benefits22 days of PTO, medical/dental/vision (start day 1 of employment), 401K with a great match plan, PLUS an excellent bonus program that has averaged over 20% for many years. (Local ca"
14,Data Scientist,"Durham, NC, USA",SPECTRAFORCE TECHNOLOGIES Inc.,Posted 60+ days ago,"Job Role: Data Scientist Location: Boston, MA/ Durham, NC (Hybrid Model - 1 week onsite per month) Duration: 6+ Months+ Contract W2 OnlyMust Have:Candidate should have strong python & a good comfort level of Linux & Bash.Candidate should have strong communication.Some understanding of ML systems would be nice to have but is not required.Knowledge of Rshiny would be nice to have.The Expertise You Have:Preferred Master’s Degree in Engineering, Computer Science, Mathematics, Computational Statistic"
15,Data Scientist,"Grand Junction, CO, USA",Motion Recruitment,Posted 60+ days ago,"Job Description A client of ours based in Phoenix, Arizona is looking for a Data Scientist for their Statistics Team. This is a Hybrid and direct hire position. The company is a startup with a focus on analytics and statistics using constant data in business innovation. In this role, you will be researching data using different frameworks and building algorithms from scratch. This company is aware of the data they are looking for, but there is more data to be found and studied. Required Skills"
16,Data Scientist,Remote,Maximus,Posted 60+ days ago,"Job Introduction #highlightedJobs1020 #HighlightedJobs1116 Job Description Summary The Data Scientist is an accomplished technical leader and a team player with substantial software engineering experience. The candidate must have hands-on experience with enterprise-level software development, integration, and implementation using advanced data science or big data technologies. The candidate must demonstrate a willingness to learn new cutting-edge technologies and overcome technical challenges i"
17,Data Scientist Research Programmer,"Santa Monica, CA, USA",RAND Corporation,Posted 60+ days ago,"Job Type: Regular Position Description The RAND Corporation seeks Data Scientist Research Programmers to join the Research Programming Group (RPG). Our Programmers are a world-class resource for RAND's researchers. As part of the RPG team, you will have the opportunity to interact with and learn from some of the best in the profession. Data Scientist Research Programmers work in a multidisciplinary environment in support of research on a wide range of issues spanning health care, education a"
18,Journeyman Data Scientist,"Springfield, VA, USA","Electronic Consulting Services, Inc (ECS Federal)",Posted 60+ days ago,"ECS is seeking a Journeyman Data Scientist to work in our Springfield, VA office. Job Description: While in this position the candidate shall: Examine track datasets provided by Sandia National Labs, commercial firms, and other collectors as directed by the government. Analyze output from the ATLAS tool and ascertain whether additional track features can classified identified and be automatically extracted. Analyze algorithm accuracy to improve algorithm input settings. Conduct data collection"
19,"Corporate Vice President and Lead Data Scientist, Strategic Businesses Analytics (Remote)",Remote,New York Life Insurance Company,Posted 56 days ago,"Location Designation: Hybrid When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both virtual and in-person inter"
